LOCATION,TIME,M3,CPI,c_m3,c_cpi
BRA,1999-01-01,9.033646,35.46151,14.610157948476433,4.858441218198567
BRA,2000-01-01,11.21081,37.95947,24.1006123109097,7.044144482285177
BRA,2001-01-01,12.92334,40.55603,15.275702647712334,6.840348403178433
BRA,2002-01-01,14.20756,43.98309,9.937214373374077,8.450186075905352
BRA,2003-01-01,16.31367,50.45516,14.823868419348555,14.714905205614254
BRA,2004-01-01,19.96765,53.78378,22.39827089796472,6.597184509968853
BRA,2005-01-01,23.25367,57.47848,16.456718742566107,6.86954319685228
BRA,2006-01-01,27.4796,59.88313,18.173174384946556,4.183565744953596
BRA,2007-01-01,31.93058,62.06364,16.19739734202826,3.641275931969485
BRA,2008-01-01,37.92081,65.58797,18.760166586388358,5.678574443909508
BRA,2009-01-01,44.13098,68.79394,16.37668077237801,4.888045780346621
BRA,2010-01-01,53.74648,72.26028,21.788548543449515,5.038728701975767
BRA,2011-01-01,63.09265,77.05579,17.389362056826794,6.636439825586073
BRA,2012-01-01,74.15891,81.21951,17.53969757174569,5.4035134802978435
BRA,2013-01-01,82.62949,86.25861,11.42220132415646,6.2042974649810185
BRA,2014-01-01,90.78605,91.71796,9.871245725950867,6.329049355189007
BRA,2015-01-01,100.0,100.0,10.14908127405036,9.029899923635453
BRA,2016-01-01,110.7789,108.7391,10.778899999999995,8.739099999999993
BRA,2017-01-01,121.5595,112.4867,9.731636620331134,3.4464143992363425
BRA,2018-01-01,130.4643,116.6092,7.325466129755395,3.6648777144320195
CAN,1971-01-01,2.272355,16.49987,10.694151419776574,2.7048947671132697
CAN,1972-01-01,2.592907,17.32289,14.106598660860636,4.988039299703571
CAN,1973-01-01,3.005834,18.61996,15.925253007531712,7.4876074373271315
CAN,1974-01-01,3.758803,20.66763,25.05025227607379,10.997177222722284
CAN,1975-01-01,4.318983,22.87332,14.903148688558575,10.672196086343721
CAN,1976-01-01,5.132185,24.59837,18.828552925538247,7.541756072139941
CAN,1977-01-01,6.0087,26.56044,17.07878807954118,7.976422828016656
CAN,1978-01-01,6.915966,28.9439,15.099206151080931,8.973721820873447
CAN,1979-01-01,8.255965,31.59073,19.37544227371852,9.144690245613068
CAN,1980-01-01,9.644033,34.79062,16.81291042294875,10.12920562456137
CAN,1981-01-01,10.95038,39.12958,13.545650455571844,12.4716374700997
CAN,1982-01-01,11.42637,43.34343,4.346789791769795,10.768963019792192
CAN,1983-01-01,11.6704,45.88491,2.1356738841819443,5.863587630236001
CAN,1984-01-01,12.13281,47.86015,3.9622463668768715,4.304770348247386
CAN,1985-01-01,12.96833,49.75639,6.886450871644746,3.962043579052732
CAN,1986-01-01,14.03542,51.84356,8.22843033759937,4.1947777963795065
CAN,1987-01-01,15.57081,54.10192,10.939394759829058,4.356105174876115
CAN,1988-01-01,16.96435,56.28127,8.949694974121448,4.028230421397243
CAN,1989-01-01,19.04299,59.08612,12.252989357092963,4.983629544962297
CAN,1990-01-01,21.05252,61.91072,10.552597044896844,4.780479747189352
CAN,1991-01-01,22.39554,65.39373,6.379378810707692,5.625859301910893
CAN,1992-01-01,23.4952,66.36819,4.91017407930329,1.4901428623202766
CAN,1993-01-01,24.52661,67.606,4.389875378800781,1.8650651765552082
CAN,1994-01-01,25.49433,67.71793,3.9455921548065542,0.16556222820459868
CAN,1995-01-01,26.78508,69.17303,5.062890454465755,2.14876621302512
CAN,1996-01-01,28.26305,70.25941,5.517885330191282,1.5705253911820916
CAN,1997-01-01,29.59764,71.39848,4.722031061757307,1.6212347926064334
CAN,1998-01-01,30.6675,72.10956,3.6146800893584827,0.9959315660501392
CAN,1999-01-01,31.79169,73.36055,3.6657373440939063,1.7348462533955298
CAN,2000-01-01,34.21238,75.35555,7.614222458762035,2.719445260429468
CAN,2001-01-01,36.10247,77.25836,5.52457911434397,2.5251092985188253
CAN,2002-01-01,38.24828,79.00316,5.943665350320919,2.2583963728973773
CAN,2003-01-01,40.52945,81.18251,5.964111327359023,2.7585605436542027
CAN,2004-01-01,44.19386,82.69028,9.041351412368053,1.8572596486607866
CAN,2005-01-01,48.535,84.52068,9.82294825570791,2.21356125532529
CAN,2006-01-01,52.15914,86.2128,7.467065004635839,2.0020189141876314
CAN,2007-01-01,57.86857,88.05636,10.946173575714626,2.138383163520958
CAN,2008-01-01,64.70291,90.14353,11.810106937150865,2.370266043247757
CAN,2009-01-01,66.78885,90.41348,3.2238735475730436,0.2994668613487941
CAN,2010-01-01,70.42165,92.02002,5.4392312489285315,1.7768810580015229
CAN,2011-01-01,75.59847,94.69976,7.3511768042924395,2.9121271653711824
CAN,2012-01-01,80.67679,96.13511,6.717490446565903,1.5156849394338483
CAN,2013-01-01,85.95999,97.03713,6.5485996654056375,0.938283630195053
CAN,2014-01-01,93.06658,98.88728,8.267322972001272,1.906641303179514
CAN,2015-01-01,100.0,100.0,7.449956794372372,1.125240779198291
CAN,2016-01-01,108.6319,101.4288,8.631900000000002,1.4287999999999954
CAN,2017-01-01,115.3934,103.0485,6.22423063575248,1.5968837253324586
CAN,2018-01-01,121.1188,105.3858,4.961635587477267,2.2681552861031444
CAN,2019-01-01,130.4731,107.4401,7.72324362526709,1.9493138544282036
CAN,2020-01-01,147.2908,108.2104,12.889783411293212,0.7169576349984838
CHE,1973-01-01,12.82301,42.02522,8.770419354893443,8.754672997565862
CHE,1974-01-01,13.63191,46.12999,6.308191290500433,9.767396815531251
CHE,1975-01-01,14.21204,49.21913,4.255676570634639,6.6965980265766385
CHE,1976-01-01,15.08156,50.06347,6.1181927436173815,1.7154711999175982
CHE,1977-01-01,16.40428,50.7123,8.770445497680615,1.2960148387636667
CHE,1978-01-01,17.9873,51.23402,9.65004254987114,1.02878394393471
CHE,1979-01-01,19.62397,53.10286,9.09903098297131,3.6476544296153195
CHE,1980-01-01,20.80646,55.23891,6.025743007148917,4.022476378861699
CHE,1981-01-01,21.59268,58.82409,3.77873025973664,6.490316336799553
CHE,1982-01-01,22.04488,62.15065,2.09422822919618,5.655098106915043
CHE,1983-01-01,23.54981,63.98397,6.8266645134834105,2.9498002032158963
CHE,1984-01-01,25.056,65.85963,6.395762853288414,2.9314529873654234
CHE,1985-01-01,26.91211,68.12218,7.4078464240102075,3.435412558497527
CHE,1986-01-01,28.66374,68.6333,6.508705560433584,0.7502989481546324
CHE,1987-01-01,31.2889,69.62184,9.15846989960138,1.4403212434780206
CHE,1988-01-01,34.36084,70.92549,9.817986570317272,1.8724727757841366
CHE,1989-01-01,36.38821,73.16338,5.900234103706421,3.1552690013139246
CHE,1990-01-01,37.16199,77.1171,2.126457992849888,5.403960287236579
CHE,1991-01-01,38.15497,81.63585,2.6720312878831183,5.859595342667205
CHE,1992-01-01,38.96642,84.93152,2.126721630235853,4.037037649513052
CHE,1993-01-01,40.44982,87.72799,3.806867554165877,3.292617393401177
CHE,1994-01-01,42.53245,88.47553,5.148675568890034,0.8521111677128368
CHE,1995-01-01,43.48262,90.06794,2.2339884017967457,1.799830981515439
CHE,1996-01-01,46.41708,90.79897,6.74858138723012,0.811642855382286
CHE,1997-01-01,48.83952,91.27132,5.218854783627065,0.5202151522203455
CHE,1998-01-01,49.46912,91.2877,1.2891199585909041,0.01794649184431436
CHE,1999-01-01,49.96275,92.02388,0.9978548233726477,0.8064394217402832
CHE,2000-01-01,49.11487,93.4581,-1.6970242830908955,1.5585302423675205
CHE,2001-01-01,50.47932,94.38242,2.7780792252936797,0.9890207483353444
CHE,2002-01-01,52.44635,94.98903,3.8967046307279913,0.642715031040742
CHE,2003-01-01,56.75344,95.59531,8.212373215676582,0.6382631762846701
CHE,2004-01-01,58.71646,96.36285,3.4588564146948633,0.8029054981881399
CHE,2005-01-01,61.08523,97.49219,4.034252064923541,1.171966167459762
CHE,2006-01-01,62.63596,98.52512,2.538633316106028,1.0595002533023492
CHE,2007-01-01,63.94936,99.24667,2.0968785343116023,0.7323513028961481
CHE,2008-01-01,65.32621,101.6544,2.1530317113416064,2.426005829717008
CHE,2009-01-01,68.97028,101.166,5.578266365062353,-0.4804514118424767
CHE,2010-01-01,73.3371,101.8623,6.331451749942155,0.6882747168020955
CHE,2011-01-01,78.38869,102.0979,6.888178016310967,0.23129263721709692
CHE,2012-01-01,84.58798,101.3908,7.908398520245721,-0.6925705621761045
CHE,2013-01-01,92.86771,101.1705,9.788305619781912,-0.21727809623752314
CHE,2014-01-01,98.13197,101.1571,5.668557995023235,-0.01324496765361869
CHE,2015-01-01,100.0,100.0,1.9035896252770679,-1.1438643456564095
CHE,2016-01-01,102.2686,99.56538,2.2686000000000064,-0.43461999999999534
CHE,2017-01-01,106.0411,100.0968,3.6888155308667505,0.5337397396564921
CHE,2018-01-01,109.1192,101.0341,2.9027424272286937,0.9363935710232428
CHL,1988-01-01,1.509852,17.1735,36.40944190420949,14.68435174809578
CHL,1989-01-01,2.087234,20.0978,38.24096666428233,17.02797915392901
CHL,1990-01-01,3.011353,25.33056,44.274815377672084,26.036481604951778
CHL,1991-01-01,4.240525,30.84867,40.81793134182541,21.784397976199504
CHL,1992-01-01,5.720935,35.60733,34.91100748138497,15.42581900613543
CHL,1993-01-01,7.203421,40.13934,25.913351576272056,12.727744540239327
CHL,1994-01-01,8.808352,44.73254,22.28012218083602,11.443137829371393
CHL,1995-01-01,10.66997,48.4152,21.13469125666186,8.232619922767629
CHL,1996-01-01,12.83278,51.97813,20.27006636382296,7.3591144929691525
CHL,1997-01-01,15.30408,55.1664,19.257713449463026,6.133868224963082
CHL,1998-01-01,17.16344,57.98554,12.149439887925315,5.110248267061105
CHL,1999-01-01,18.78639,59.92045,9.455855003425883,3.3368836437498075
CHL,2000-01-01,20.83992,62.22335,10.930945221514076,3.8432621917892824
CHL,2001-01-01,23.37501,64.44417,12.164586044476179,3.569110309875627
CHL,2002-01-01,25.27345,66.04844,8.121664974688784,2.4893950841480303
CHL,2003-01-01,26.89152,67.90452,6.402252165810364,2.8101799224932575
CHL,2004-01-01,28.37557,68.62074,5.5186542077205,1.0547456929229346
CHL,2005-01-01,31.50507,70.71543,11.02885334109588,3.052561077015491
CHL,2006-01-01,35.265,73.11411,11.934364849847979,3.3920178382567974
CHL,2007-01-01,40.21717,76.33684,14.042733588543888,4.4078085611655515
CHL,2008-01-01,47.01815,82.99056,16.910637919077832,8.716263340216871
CHL,2009-01-01,51.35249,83.28355,9.218440113020193,0.35304015300053787
CHL,2010-01-01,54.53489,84.45845,6.197167849114997,1.4107227657802697
CHL,2011-01-01,63.42939,87.28039,16.309742258579785,3.3412168942243174
CHL,2012-01-01,73.9477,89.9053,16.582707164612494,3.0074453150358287
CHL,2013-01-01,81.39795,91.51421,10.075025998104062,1.7895607934126339
CHL,2014-01-01,89.55688,95.83247,10.023507963038396,4.718677022945393
CHL,2015-01-01,100.0,100.0,11.660879655477048,4.348766133232295
CHL,2016-01-01,110.4768,103.7862,10.476799999999999,3.786199999999994
CHL,2017-01-01,118.6149,106.0516,7.366342978797366,2.1827564743674976
CHL,2018-01-01,126.1831,108.6338,6.380480024010466,2.434852468043858
