LOCATION,r2,slope,r2cat
ISR,0.9927890326976023,0.9123107351990393,3
CHL,0.9269016123736041,0.5525254386841936,3
MEX,0.8857918823945141,1.1374417241163304,3
POL,0.8844147496054215,1.1065932991931178,3
TUR,0.8635843232292835,0.8231662675117052,3
ISL,0.8132713422203115,0.8259790784730986,3
NZL,0.723043957993386,0.47875222551612984,3
CRI,0.7149900159982043,0.404433802806918,3
IDN,0.7126500659836302,0.8308352251932465,2
COL,0.6761884090641773,0.6874670357553145,2
OECD,0.6556033024742322,0.6016698412560171,2
OECDE,0.6484131942141449,0.2855401022377964,2
HUN,0.614361970079633,0.8466980667177556,2
CHN,0.5174864308284702,0.6661382226179978,2
CAN,0.4567317371694881,0.44089705242789656,2
KOR,0.4425844056368353,0.1749559380379906,1
AUS,0.4097422917876625,0.5296771057313546,1
RUS,0.4068909119107186,0.6503355410926924,1
NOR,0.3355073800075532,0.48934459119975643,1
JPN,0.27740907461701025,0.2090019144658838,1
CZE,0.2475970766690504,0.3859524665861266,1
BRA,0.16873058627350812,0.19654289254451335,1
ZAF,0.1683029796047394,0.32863601944472165,0
GBR,0.1243436289025025,0.11175211345206337,0
EA19,0.12421667697478489,0.130746970655681,0
DNK,0.08627468433155028,0.14217497062387932,0
IND,0.07274234527721779,0.3246718591217058,0
SWE,0.05673811105667825,0.19738525837245557,0
USA,0.019616325220303876,0.126700472461688,0
CHE,0.0006779898934307083,0.023137061393732904,0
