LOCATION,TIME,M1,CPI,c_m1,c_cpi
BRA,1998-05-01,13.63942,34.03642,31.175719707024953,6.16908191838812
BRA,1998-06-01,13.89498,34.04314,24.952306651146404,0.23718012728433102
BRA,1998-07-01,14.09553,34.00231,18.7631780980563,-1.4297766700370307
BRA,1998-08-01,14.17507,33.82899,6.985673215928956,-5.948157101366447
BRA,1998-09-01,14.07294,33.75452,-8.311369497976385,-2.609889454919212
BRA,1998-10-01,13.94775,33.76125,-10.167844439024055,0.2395193882352764
BRA,1998-11-01,14.13917,33.72065,17.7706685968128,-1.4335680602807988
BRA,1998-12-01,13.81145,33.83201,-24.528268778700145,4.035690990352658
BRA,1999-01-01,13.99136,34.0689,16.80135151137243,8.733591214442992
BRA,1999-02-01,14.63635,34.42666,71.74110804987635,13.35517380950031
BRA,1999-03-01,14.47364,34.8053,-12.554037838823973,14.02652579512691
BRA,1999-04-01,14.25382,35.00019,-16.77725314361296,6.930167169818668
BRA,1999-05-01,14.21221,35.10529,-3.4473605702453725,3.6635212938336714
BRA,1999-06-01,14.48228,35.17188,25.344097075692716,2.3001363766931737
BRA,1999-07-01,15.00359,35.55516,52.86180196440253,13.8897539952209
BRA,1999-08-01,15.26873,35.75423,23.393627642402805,6.929492757154554
BRA,1999-09-01,15.06715,35.86514,-14.74136855081668,3.786582288839213
BRA,1999-10-01,15.26085,36.29203,16.56585172672209,15.256325342810605
BRA,1999-11-01,15.81055,36.63681,52.90407207764953,12.015131307002513
BRA,1999-12-01,16.25527,36.85652,39.497529020145805,7.438538760882563
BRA,2000-01-01,16.59285,37.08505,27.97395613041209,7.699703302070349
BRA,2000-02-01,16.60239,37.13331,0.6921216304606181,1.5728251317215003
BRA,2000-03-01,16.6888,37.21498,6.427530009682658,2.671408631994443
BRA,2000-04-01,17.00271,37.37136,25.05943126196284,5.16067232810693
BRA,2000-05-01,17.23746,37.37507,17.88579770014622,0.11919372548532259
BRA,2000-06-01,17.43105,37.46114,14.341353015338033,2.7987176511504064
BRA,2000-07-01,17.81133,38.06438,29.560799056120235,21.13042748706395
BRA,2000-08-01,18.12861,38.56297,23.599829543368102,16.901631037594676
BRA,2000-09-01,18.47383,38.6516,25.403379574953533,2.7931140451306735
BRA,2000-10-01,19.03761,38.70566,43.43851969354529,1.6913495450373128
BRA,2000-11-01,19.40251,38.82955,25.587345983566912,3.909334110327922
BRA,2000-12-01,19.46142,39.05855,3.7049084986498615,7.311214355471085
BRA,2001-01-01,19.62708,39.28128,10.706726175005944,7.061709395661908
BRA,2001-02-01,20.36217,39.46202,55.46062010779491,5.663301340928761
BRA,2001-03-01,20.88658,39.6119,35.6810818023005,4.654122323205878
BRA,2001-04-01,21.00763,39.84159,7.180730229558829,7.184467634639358
BRA,2001-05-01,21.26518,40.00492,15.745480237261633,5.031829874971816
BRA,2001-06-01,21.32042,40.21304,3.162132604463541,6.424592318094735
BRA,2001-07-01,21.32476,40.74783,0.2445465310449313,17.179315561980847
BRA,2001-08-01,21.53248,41.03297,12.335961010673135,8.728051453627849
BRA,2001-09-01,21.57914,41.14782,2.631567373179511,3.410953831714081
BRA,2001-10-01,21.56723,41.48934,-0.6602994996032008,10.427270812028189
BRA,2001-11-01,21.65636,41.784,5.073478247295937,8.863386180185318
BRA,2001-12-01,21.46095,42.05568,-10.306335864540383,8.08757167532792
BRA,2002-01-01,22.02919,42.27447,36.83431790079344,6.424628810745059
BRA,2002-02-01,22.8754,42.42667,57.19619093709929,4.406922443484218
BRA,2002-03-01,23.29552,42.68119,24.40692260349828,7.441207859513144
BRA,2002-04-01,24.11396,43.02271,51.339928373934754,10.036032490495717
BRA,2002-05-01,24.85728,43.11296,43.953032580328475,2.546522312834565
BRA,2002-06-01,25.69354,43.29393,48.745584299700795,5.15502559025407
BRA,2002-07-01,26.88735,43.80923,72.46011529908473,15.255938792683278
BRA,2002-08-01,27.96089,44.09391,59.969020276151184,8.082628016073334
BRA,2002-09-01,28.24589,44.4113,12.940906751145542,8.9879529347765
BRA,2002-10-01,28.67161,44.99319,19.663528776263828,16.90675217375808
BRA,2002-11-01,29.1445,46.35208,21.689845779232254,42.91219912479938
BRA,2002-12-01,28.91884,47.32537,-8.905718826503161,28.320926806823856
BRA,2003-01-01,28.73981,48.39031,-7.181127036864154,30.60885887721487
BRA,2003-02-01,28.59488,49.15015,-5.886347580441287,20.55835659901244
BRA,2003-03-01,28.34535,49.75477,-9.983412147259795,15.802651858291593
BRA,2003-04-01,28.20393,50.23736,-5.8254289695871435,12.280679265932172
BRA,2003-05-01,28.18698,50.54385,-0.7187970917477804,7.571724099494714
BRA,2003-06-01,28.20862,50.46798,0.9251764967718179,-1.7864903060569204
BRA,2003-07-01,28.26479,50.5689,2.415825959857232,2.4261888743414506
BRA,2003-08-01,28.20629,50.74083,-2.45557711213813,4.157062403548006
BRA,2003-09-01,27.80287,51.13664,-15.87521882997489,9.772981780617652
BRA,2003-10-01,27.95865,51.28489,6.934740647800464,3.534925479718054
BRA,2003-11-01,28.74651,51.45937,39.58127018201849,4.159872517127172
BRA,2003-12-01,29.37127,51.72688,29.434840362098512,6.419650313132985
BRA,2004-01-01,30.08909,52.1199,33.60906743157195,9.508411194755006
BRA,2004-02-01,30.86017,52.43776,35.478733961228606,7.568891417629264
BRA,2004-03-01,31.58053,52.68416,31.90255304989209,5.786717629703486
BRA,2004-04-01,32.29001,52.87905,30.552497037872904,4.530495817171287
BRA,2004-05-01,32.91025,53.14865,25.648127986709945,6.292622435285988
BRA,2004-06-01,33.31728,53.5259,15.893822530551848,8.858134593626188
BRA,2004-07-01,33.67281,54.01289,13.584181759387315,11.481098962277446
BRA,2004-08-01,34.11721,54.3855,17.038780060463377,8.599675034046616
BRA,2004-09-01,34.6608,54.56508,20.887357455741995,4.035138042493802
BRA,2004-10-01,35.13208,54.80521,17.593513841676334,5.4106761427973105
BRA,2004-11-01,35.18825,55.18339,1.9355497691606383,8.602134642444149
BRA,2004-12-01,34.82939,55.65786,-11.574322907783241,10.819843497466586
BRA,2005-01-01,35.47592,55.98059,24.696304427053573,7.184406513255381
BRA,2005-02-01,36.51245,56.31097,41.28228188355756,7.316486461501515
BRA,2005-03-01,36.94448,56.65435,15.160354969785184,7.567984919040027
BRA,2005-04-01,37.19533,57.14714,8.459174813698422,10.951932515233898
BRA,2005-05-01,37.35196,57.42718,5.171908809197379,6.041504359020777
BRA,2005-06-01,37.83183,57.41558,16.554070064618287,-0.24212482094767562
BRA,2005-07-01,38.15293,57.5592,10.674241716952594,3.0433368408671724
BRA,2005-08-01,38.24761,57.65711,3.0188930801062552,2.060443390728417
BRA,2005-09-01,38.41622,57.85896,5.420222811137743,4.282884620131844
BRA,2005-10-01,38.46825,58.29282,1.6374124277097835,9.378838902386754
BRA,2005-11-01,38.76159,58.61346,9.54431508699387,6.804000776385943
BRA,2005-12-01,39.14756,58.82436,12.625667759857851,4.404260856605169
BRA,2006-01-01,39.47222,59.17145,10.418603861547982,7.314896745807298
BRA,2006-02-01,40.43604,59.41413,33.57487525959839,5.034110972202921
BRA,2006-03-01,41.13938,59.66958,22.989913915699645,5.283148924830372
BRA,2006-04-01,41.34918,59.79486,6.29428375565475,2.5487731951085335
BRA,2006-05-01,42.16905,59.85472,26.567729375273984,1.2079437791263636
BRA,2006-06-01,42.80849,59.72897,19.79345831228041,-2.492175965044685
BRA,2006-07-01,43.23553,59.84243,12.649828926827201,2.303463797559724
BRA,2006-08-01,44.0869,59.87236,26.36456332159476,0.6018298871919514
BRA,2006-09-01,44.86733,59.99811,23.437741026093395,2.5496808002572147
BRA,2006-10-01,45.74213,60.19601,26.076427562708936,4.03072600451162
BRA,2006-11-01,46.61687,60.38255,25.522250619941378,3.7826910957541093
BRA,2006-12-01,47.37772,60.67234,21.44302036348764,5.913554865176751
BRA,2007-01-01,48.03788,60.93938,18.06362453318604,5.411364673468699
BRA,2007-02-01,48.49439,61.20759,12.019083327470437,5.411254406092558
BRA,2007-03-01,49.19887,61.43403,18.894982234436174,4.530904293170135
BRA,2007-04-01,50.2295,61.58762,28.24626476039487,3.0416945709871968
BRA,2007-05-01,51.22606,61.76001,26.585856713840062,3.411118137870117
BRA,2007-06-01,52.37046,61.93286,30.36025964185878,3.4106665684537685
BRA,2007-07-01,53.62311,62.08158,32.796710387755354,2.919935869277346
BRA,2007-08-01,54.81609,62.37345,30.21849514451207,5.789864458498362
BRA,2007-09-01,55.30307,62.48574,11.197298374046195,2.1818619247772064
