LOCATION,TIME,M3,CPI,c_m3,c_cpi
BRA,1994-09-01,2.874224,21.97712,84.04719711101028,19.979728426454237
BRA,1994-10-01,3.011426,22.55297,74.99232878449406,36.39408984774579
BRA,1994-11-01,3.132388,23.1866,60.413261992364895,39.44403222209829
BRA,1994-12-01,3.262094,23.58311,62.72378551438176,22.56545489517037
BRA,1995-01-01,3.400568,23.98402,64.68722326606276,22.419559216103192
BRA,1995-02-01,3.530016,24.22857,56.567826182214255,12.945688121958575
BRA,1995-03-01,3.600063,24.60419,26.590502549702343,20.27503102787902
BRA,1995-04-01,3.644683,25.20209,15.930023225774526,33.39201489996147
BRA,1995-05-01,3.732823,25.87492,33.208407245106585,37.18590440932989
BRA,1995-06-01,3.823047,26.45959,33.18854600363035,30.752239411210414
BRA,1995-07-01,3.966213,27.08394,55.452158846867384,32.295414640774744
BRA,1995-08-01,4.172592,27.35214,83.8055617694614,12.552102509923602
BRA,1995-09-01,4.321382,27.6229,52.26526780806584,12.547415371425519
BRA,1995-10-01,4.439803,28.01245,38.32239512151156,18.299219141380817
BRA,1995-11-01,4.601034,28.42427,53.426686879557984,19.140304469071513
BRA,1995-12-01,4.775141,28.86765,56.15974400817401,20.4107705836317
BRA,1996-01-01,4.901226,29.25441,36.71694495723703,17.316460343033913
BRA,1996-02-01,4.997753,29.5558,26.3690492554278,13.087995003471242
BRA,1996-03-01,5.113463,29.65927,31.608503725058345,4.282842865977909
BRA,1996-04-01,5.229693,30.03304,30.958269453074582,16.2160320149489
BRA,1996-05-01,5.350815,30.39939,31.62090995438738,15.66098712072439
BRA,1996-06-01,5.445518,30.7611,23.43296029361195,15.250789669186027
BRA,1996-07-01,5.533557,31.10262,21.222232907339688,14.16720100863198
BRA,1996-08-01,5.637239,31.23951,24.95243375121494,5.411226510920097
BRA,1996-09-01,5.741098,31.28637,24.492202217650274,1.81495320403946
BRA,1996-10-01,5.836198,31.38034,21.79253937716212,3.664393821037648
BRA,1996-11-01,5.956506,31.4808,27.743494935144142,3.9100097978519432
BRA,1996-12-01,6.11346,31.62882,36.62994604852694,5.790520271176658
BRA,1997-01-01,6.282371,32.00213,38.68773536124219,15.119990470401312
BRA,1997-02-01,6.410391,32.16222,27.388810825206654,6.1709244577306865
BRA,1997-03-01,6.501035,32.32625,18.352056919717974,6.294723753736453
BRA,1997-04-01,6.601151,32.6107,20.128473099554366,11.08553903675431
BRA,1997-05-01,6.701097,32.74434,19.76084367935538,5.030017899415951
BRA,1997-06-01,6.814373,32.92113,22.281278161409503,6.674818075653111
BRA,1997-07-01,6.925105,32.99352,21.340429624287594,2.6708169447692276
BRA,1997-08-01,7.033722,32.98702,20.533020499778697,-0.23615406564974073
BRA,1997-09-01,7.150209,33.00674,21.78742405390153,0.7197364762674185
BRA,1997-10-01,7.269639,33.08261,21.991424552633255,2.793486458910155
BRA,1997-11-01,7.337827,33.13876,11.85502047099889,2.0558402768046324
BRA,1997-12-01,7.361204,33.28122,3.8906875192306067,5.282408231141278
BRA,1998-01-01,7.387067,33.5174,4.298536689583243,8.856160514483102
BRA,1998-02-01,7.451105,33.67169,10.913330115838171,5.665960463276742
BRA,1998-03-01,7.60801,33.78607,28.411729621996052,4.153329423374497
BRA,1998-04-01,7.760133,33.86705,26.81688414962906,2.9144356718410425
BRA,1998-05-01,7.874351,34.03642,19.164600006409426,6.16908191838812
BRA,1998-06-01,7.993677,34.04314,19.779339507563897,0.23718012728433102
BRA,1998-07-01,8.110134,34.00231,18.953495853775635,-1.4297766700370307
BRA,1998-08-01,8.196434,33.82899,13.54368763857925,-5.948157101366447
BRA,1998-09-01,8.091496,33.75452,-14.326495687555097,-2.609889454919212
BRA,1998-10-01,7.957313,33.76125,-18.181519333994522,0.2395193882352764
BRA,1998-11-01,8.025218,33.72065,10.734963549281385,-1.4335680602807988
BRA,1998-12-01,8.129832,33.83201,16.81450981996482,4.035690990352658
BRA,1999-01-01,8.226063,34.0689,15.166328404284645,8.733591214442992
BRA,1999-02-01,8.372357,34.42666,23.557322070115383,13.35517380950031
BRA,1999-03-01,8.528294,34.8053,24.788079459057744,14.02652579512691
BRA,1999-04-01,8.671157,35.00019,22.061480305218595,6.930167169818668
BRA,1999-05-01,8.798527,35.10529,19.12284511750253,3.6635212938336714
BRA,1999-06-01,8.933215,35.17188,19.99793839316082,2.3001363766931737
BRA,1999-07-01,9.085259,35.55516,22.448737834762067,13.8897539952209
BRA,1999-08-01,9.215401,35.75423,18.61049110063624,6.929492757154554
BRA,1999-09-01,9.365049,35.86514,21.324858544826732,3.786582288839213
BRA,1999-10-01,9.544271,36.29203,25.542998669647954,15.256325342810605
BRA,1999-11-01,9.695145,36.63681,20.708696082881705,12.015131307002513
BRA,1999-12-01,9.969006,36.85652,39.69169391548124,7.438538760882563
BRA,2000-01-01,10.24938,37.08505,39.49185584461456,7.699703302070349
BRA,2000-02-01,10.41877,37.13331,21.738029909182632,1.5728251317215003
BRA,2000-03-01,10.5752,37.21498,19.58195925752655,2.671408631994443
BRA,2000-04-01,10.71917,37.37136,17.61719795140644,5.16067232810693
BRA,2000-05-01,10.89985,37.37507,22.21157827218716,0.11919372548532259
BRA,2000-06-01,11.23231,37.46114,43.41108312088298,2.7987176511504064
BRA,2000-07-01,11.48851,38.06438,31.079720589637418,21.13042748706395
BRA,2000-08-01,11.55662,38.56297,7.350857878226047,16.901631037594676
