LOCATION,r2,slope,r2cat
ISR,0.269229149634049,0.8267457192699337,3
RUS,0.21540620990735415,3.0010374166525997,3
POL,0.19423569709759891,0.3824707578067419,3
IDN,0.15716979328674274,0.29306943499603927,3
ISL,0.13116738749286583,0.35733552839610283,3
TUR,0.07378790880229658,0.2595112911024409,3
OECDE,0.04566351038006444,0.05682661035924617,3
CZE,0.04055931859076145,-0.20154403204363566,2
MEX,0.03411963703555676,0.1050141107091975,2
BRA,0.026292233009765686,0.01644593473112509,2
COL,0.02563041520973708,0.10214448764268633,2
JPN,0.013133498429143686,0.060234782018506385,2
CRI,0.011636791663713786,0.029837759600164274,2
CHL,0.011392204349522483,0.03359002247596365,2
ZAF,0.009421237357149503,0.040541244807144036,1
EA19,0.007549883493398135,-0.02557614534314616,1
SWE,0.004851486833044705,-0.041875120111982675,1
HUN,0.002922705769590306,0.0746235578107401,1
OECD,0.002310734965590311,-1.2824171497208867e-06,1
CHN,0.0021849182668700617,0.03080833460579398,1
GBR,0.002134281779893721,-0.013167091674781597,1
CAN,0.0016962537717029047,0.019131433414457322,0
KOR,0.001029206971542962,0.021284156197914714,0
DNK,0.0010170033155773028,0.016124000097998824,0
USA,0.0009404682224307681,-1.601115871517482e-08,0
IND,0.000408868092346526,0.01602943097128114,0
CHE,0.00015851428721780358,-0.0010595231184974113,0
NOR,1.632591405686945e-05,0.00010707408866659414,0
