LOCATION,TIME,M1,CPI,c_m1,c_cpi
AUS,1962-01-01,0.5005282,7.244021,1.8766639256840834,-0.31950231449628885
AUS,1963-01-01,0.5179471,7.290457,3.48010361853738,0.6410251985741058
AUS,1964-01-01,0.5573969,7.49942,7.616569336907182,2.866253789028586
AUS,1965-01-01,0.560913,7.754818,0.6308072398680405,3.405570030749051
AUS,1966-01-01,0.571988,8.010216,1.9744594972839027,3.293410625497588
AUS,1967-01-01,0.6111571,8.288832,6.847888417239514,3.478258264196615
AUS,1968-01-01,0.6545874,8.497794,7.106241586655875,2.5210065784902076
AUS,1969-01-01,0.7068845,8.77641,7.989322739789978,3.2786862096209854
AUS,1970-01-01,0.7509372,9.078245,6.231951613028712,3.4391624821538707
AUS,1971-01-01,0.7872288,9.635477,4.832840882033808,6.138102683943857
AUS,1972-01-01,0.8713926,10.21593,10.691148494567273,6.024123144085138
AUS,1973-01-01,1.072686,11.14465,23.100196168753335,9.090900192150887
AUS,1974-01-01,1.11813,12.86278,4.236468081060072,15.416634887591808
AUS,1975-01-01,1.304861,14.8131,16.700294241277845,15.162507638317685
AUS,1976-01-01,1.497212,16.78663,14.741110355815673,13.322869622158754
AUS,1977-01-01,1.62396,18.85303,8.465601397798046,12.309796546418202
AUS,1978-01-01,1.762286,20.3622,8.517820635976253,8.00492016402669
AUS,1979-01-01,2.043204,22.21964,15.940545405229331,9.122000569683024
AUS,1980-01-01,2.338137,24.47179,14.434828827664804,10.135852786093746
AUS,1981-01-01,2.581884,26.79359,10.424838236596056,9.487659055590129
AUS,1982-01-01,2.638555,29.83515,2.194947565421225,11.351819595657025
AUS,1983-01-01,2.799427,32.83028,6.096973532861732,10.038930590260158
AUS,1984-01-01,3.101673,34.13049,10.796709469473567,3.960398753833351
AUS,1985-01-01,3.442918,36.42907,11.001965713342454,6.734682098030239
AUS,1986-01-01,3.701289,39.72603,7.504419216490196,9.050354565735546
AUS,1987-01-01,4.353311,43.11586,17.61607915512676,8.533019785767658
AUS,1988-01-01,5.154017,46.22707,18.393034635016885,7.2159293587093005
AUS,1989-01-01,5.946802,49.70977,15.38188562435864,7.5338973462951495
AUS,1990-01-01,6.172877,53.355,3.8016231244961545,7.333025278531761
AUS,1991-01-01,6.692057,55.04992,8.410664913621321,3.1766844719332834
AUS,1992-01-01,7.869352,55.60715,17.59242337595152,1.012226720765438
AUS,1993-01-01,9.28369,56.58231,17.972737780696555,1.7536593765370145
AUS,1994-01-01,10.76079,57.69677,15.910699301678536,1.969626195890555
AUS,1995-01-01,11.26047,60.36684,4.6435252430351275,4.627763391260903
AUS,1996-01-01,12.62545,61.94567,12.121874131363976,2.615392821621931
AUS,1997-01-01,14.42004,62.08498,14.21406761739185,0.2248906178591689
AUS,1998-01-01,15.87886,62.61899,10.11661548789046,0.8601275219867913
AUS,1999-01-01,17.13415,63.54771,7.905416383795829,1.4831283609013906
AUS,2000-01-01,18.76786,66.38031,9.534817892921428,4.457438356157904
AUS,2001-01-01,21.59654,69.30578,15.071936811122859,4.407135188130343
AUS,2002-01-01,28.34892,71.37218,31.266026872823137,2.981569502572515
AUS,2003-01-01,32.18549,73.32249,13.533390337268585,2.732591326200211
AUS,2004-01-01,34.84903,75.04063,8.275592510786685,2.343264665452566
AUS,2005-01-01,38.08964,77.0606,9.29899627048444,2.6918350765445345
AUS,2006-01-01,42.13522,79.80032,10.621208286557694,3.555279870647264
AUS,2007-01-01,47.79257,81.65777,13.426653521685664,2.327622245123829
AUS,2008-01-01,51.46949,85.21012,7.693497127273136,4.350290241822676
AUS,2009-01-01,59.50946,86.71929,15.620846447089326,1.7711159190950527
AUS,2010-01-01,61.22422,89.25006,2.881491446906098,2.9183472327783173
